date,hospital_branch,weekday,total_beds,icu_beds,occupied_beds,occupied_icu_beds,available_beds,admissions,discharges,emergency_cases,staff_available
1/1/2018,Metro Hospital,Wednesday,175,31,140,25,35,40,38,18,92
1/2/2018,Metro Hospital,Thursday,175,31,175,21,0,69,19,26,57
1/3/2018,Metro Hospital,Friday,175,31,172,22,3,31,34,22,113
1/4/2018,Metro Hospital,Saturday,175,31,175,27,0,52,15,12,106
1/5/2018,Metro Hospital,Sunday,175,31,175,30,0,69,19,24,59
1/6/2018,Metro Hospital,Monday,175,31,175,27,0,27,23,29,98
1/7/2018,Metro Hospital,Tuesday,175,31,172,31,3,43,46,22,73
1/8/2018,Metro Hospital,Wednesday,175,31,174,31,1,24,22,33,71
1/9/2018,Metro Hospital,Thursday,175,31,175,31,0,63,18,11,69
1/10/2018,Metro Hospital,Friday,175,31,175,29,0,63,45,15,81
1/11/2018,Metro Hospital,Saturday,175,31,175,25,0,45,36,33,117
1/12/2018,Metro Hospital,Sunday,175,31,175,25,0,58,24,22,117
1/13/2018,Metro Hospital,Monday,175,31,167,29,8,42,50,26,54
1/14/2018,Metro Hospital,Tuesday,175,31,175,28,0,51,28,28,89
1/15/2018,Metro Hospital,Wednesday,175,31,175,30,0,38,30,18,104
1/16/2018,Metro Hospital,Thursday,175,31,170,27,5,31,36,22,57
1/17/2018,Metro Hospital,Friday,175,31,149,23,26,30,51,30,91
1/18/2018,Metro Hospital,Saturday,175,31,175,23,0,64,27,16,84
1/19/2018,Metro Hospital,Sunday,175,31,175,24,0,58,53,20,67
1/20/2018,Metro Hospital,Monday,175,31,170,25,5,38,43,32,97
1/21/2018,Metro Hospital,Tuesday,175,31,175,29,0,51,36,14,56
1/22/2018,Metro Hospital,Wednesday,175,31,175,28,0,49,36,21,106
1/23/2018,Metro Hospital,Thursday,175,31,175,31,0,38,27,23,86
1/24/2018,Metro Hospital,Friday,175,31,175,29,0,69,30,21,109
1/25/2018,Metro Hospital,Saturday,175,31,155,30,20,30,50,23,82
1/26/2018,Metro Hospital,Sunday,175,31,168,30,7,61,48,23,90
1/27/2018,Metro Hospital,Monday,175,31,175,31,0,62,49,26,105
1/28/2018,Metro Hospital,Tuesday,175,31,175,28,0,34,24,23,93
1/29/2018,Metro Hospital,Wednesday,175,31,175,29,0,43,40,27,83
1/30/2018,Metro Hospital,Thursday,175,31,175,29,0,45,15,23,108
1/31/2018,Metro Hospital,Friday,175,31,175,31,0,63,51,22,101
2/1/2018,Metro Hospital,Saturday,175,31,175,27,0,57,22,27,65
2/2/2018,Metro Hospital,Sunday,175,31,175,31,0,70,15,22,59
2/3/2018,Metro Hospital,Monday,175,31,169,27,6,30,36,26,61
2/4/2018,Metro Hospital,Tuesday,175,31,175,27,0,67,20,21,99
2/5/2018,Metro Hospital,Wednesday,175,31,175,25,0,61,22,25,108
2/6/2018,Metro Hospital,Thursday,175,31,175,24,0,40,28,29,74
2/7/2018,Metro Hospital,Friday,175,31,175,26,0,62,48,21,118
2/8/2018,Metro Hospital,Saturday,175,31,175,22,0,60,29,22,93
2/9/2018,Metro Hospital,Sunday,175,31,175,22,0,55,47,21,58
2/10/2018,Metro Hospital,Monday,175,31,175,20,0,42,37,34,103
2/11/2018,Metro Hospital,Tuesday,175,31,168,18,7,28,35,21,99
2/12/2018,Metro Hospital,Wednesday,175,31,175,21,0,49,37,28,119
2/13/2018,Metro Hospital,Thursday,175,31,175,17,0,30,20,16,79
2/14/2018,Metro Hospital,Friday,175,31,150,19,25,28,53,23,116
2/15/2018,Metro Hospital,Saturday,175,31,175,23,0,56,31,24,55
2/16/2018,Metro Hospital,Sunday,175,31,175,21,0,70,29,16,112
2/17/2018,Metro Hospital,Monday,175,31,175,21,0,50,24,13,65
2/18/2018,Metro Hospital,Tuesday,175,31,175,21,0,66,36,16,50
2/19/2018,Metro Hospital,Wednesday,175,31,175,21,0,49,17,21,97
2/20/2018,Metro Hospital,Thursday,175,31,175,24,0,32,22,31,69
2/21/2018,Metro Hospital,Friday,175,31,175,24,0,66,32,11,58
2/22/2018,Metro Hospital,Saturday,175,31,175,28,0,36,33,27,50
2/23/2018,Metro Hospital,Sunday,175,31,175,24,0,52,27,27,117
2/24/2018,Metro Hospital,Monday,175,31,175,26,0,37,16,15,87
2/25/2018,Metro Hospital,Tuesday,175,31,167,24,8,34,42,29,93
2/26/2018,Metro Hospital,Wednesday,175,31,170,20,5,26,23,30,107
2/27/2018,Metro Hospital,Thursday,175,31,175,25,0,62,17,32,117
2/28/2018,Metro Hospital,Friday,175,31,164,25,11,42,53,19,91
3/1/2018,Metro Hospital,Saturday,175,31,147,24,28,32,49,14,119
3/2/2018,Metro Hospital,Sunday,175,31,160,22,15,42,29,14,69
3/3/2018,Metro Hospital,Monday,175,31,175,23,0,57,38,15,61
3/4/2018,Metro Hospital,Tuesday,175,31,175,21,0,36,34,12,113
3/5/2018,Metro Hospital,Wednesday,175,31,175,17,0,24,18,14,57
3/6/2018,Metro Hospital,Thursday,175,31,175,13,0,59,25,18,54
3/7/2018,Metro Hospital,Friday,175,31,175,9,0,43,35,26,99
3/8/2018,Metro Hospital,Saturday,175,31,172,7,3,42,45,28,114
3/9/2018,Metro Hospital,Sunday,175,31,172,3,3,35,35,27,60
3/10/2018,Metro Hospital,Monday,175,31,175,8,0,54,50,33,78
3/11/2018,Metro Hospital,Tuesday,175,31,163,10,12,41,53,23,110
3/12/2018,Metro Hospital,Wednesday,175,31,175,11,0,48,26,34,61
3/13/2018,Metro Hospital,Thursday,175,31,172,15,3,48,51,12,104
3/14/2018,Metro Hospital,Friday,175,31,175,16,0,46,32,26,106
3/15/2018,Metro Hospital,Saturday,175,31,160,16,15,23,38,24,78
3/16/2018,Metro Hospital,Sunday,175,31,175,17,0,41,15,17,93
3/17/2018,Metro Hospital,Monday,175,31,160,19,15,21,36,30,71
3/18/2018,Metro Hospital,Tuesday,175,31,175,21,0,57,40,14,79
3/19/2018,Metro Hospital,Wednesday,175,31,168,18,7,42,49,20,85
3/20/2018,Metro Hospital,Thursday,175,31,175,14,0,59,31,14,73
3/21/2018,Metro Hospital,Friday,175,31,175,12,0,29,21,27,52
3/22/2018,Metro Hospital,Saturday,175,31,165,15,10,33,43,19,76
3/23/2018,Metro Hospital,Sunday,175,31,167,20,8,40,38,33,78
3/24/2018,Metro Hospital,Monday,175,31,175,23,0,53,15,11,74
3/25/2018,Metro Hospital,Tuesday,175,31,175,22,0,42,16,30,96
3/26/2018,Metro Hospital,Wednesday,175,31,172,25,3,34,37,30,111
3/27/2018,Metro Hospital,Thursday,175,31,175,29,0,50,27,24,109
3/28/2018,Metro Hospital,Friday,175,31,175,30,0,47,17,28,68
3/29/2018,Metro Hospital,Saturday,175,31,175,29,0,37,19,21,108
3/30/2018,Metro Hospital,Sunday,175,31,146,30,29,25,54,10,110
3/31/2018,Metro Hospital,Monday,175,31,132,26,43,33,47,30,105
4/1/2018,Metro Hospital,Tuesday,175,31,147,22,28,31,16,10,56
4/2/2018,Metro Hospital,Wednesday,175,31,160,25,15,58,45,14,80
4/3/2018,Metro Hospital,Thursday,175,31,164,25,11,46,42,12,71
4/4/2018,Metro Hospital,Friday,175,31,165,23,10,53,52,22,99
4/5/2018,Metro Hospital,Saturday,175,31,170,24,5,37,32,12,112
