date,total_beds,icu_beds,occupied_beds,occupied_icu_beds,available_beds,admissions,discharges,emergency_cases,staff_available,icu_utilization_check,lag_1,lag_2,rolling_mean_3,occupancy_rate,icu_utilization,weekday_Monday,weekday_Saturday,weekday_Sunday,weekday_Thursday,weekday_Tuesday,weekday_Wednesday,target
2018-01-03,175,31,172,22,3,31,34,22,113,0.7096774193548387,175.0,140.0,162.33333333333334,0.9828571428571429,0.7096774193548387,False,False,False,False,False,False,175.0
2018-01-04,175,31,175,27,0,52,15,12,106,0.8709677419354839,172.0,175.0,174.0,1.0,0.8709677419354839,False,True,False,False,False,False,175.0
2018-01-05,175,31,175,30,0,69,19,24,59,0.967741935483871,175.0,172.0,174.0,1.0,0.967741935483871,False,False,True,False,False,False,175.0
2018-01-06,175,31,175,27,0,27,23,29,98,0.8709677419354839,175.0,175.0,175.0,1.0,0.8709677419354839,True,False,False,False,False,False,172.0
2018-01-07,175,31,172,31,3,43,46,22,73,1.0,175.0,175.0,174.0,0.9828571428571429,1.0,False,False,False,False,True,False,174.0
2018-01-08,175,31,174,31,1,24,22,33,71,1.0,172.0,175.0,173.66666666666666,0.9942857142857143,1.0,False,False,False,False,False,True,175.0
2018-01-09,175,31,175,31,0,63,18,11,69,1.0,174.0,172.0,173.66666666666666,1.0,1.0,False,False,False,True,False,False,175.0
2018-01-10,175,31,175,29,0,63,45,15,81,0.9354838709677419,175.0,174.0,174.66666666666666,1.0,0.9354838709677419,False,False,False,False,False,False,175.0
2018-01-11,175,31,175,25,0,45,36,33,117,0.8064516129032258,175.0,175.0,175.0,1.0,0.8064516129032258,False,True,False,False,False,False,175.0
2018-01-12,175,31,175,25,0,58,24,22,117,0.8064516129032258,175.0,175.0,175.0,1.0,0.8064516129032258,False,False,True,False,False,False,167.0
2018-01-13,175,31,167,29,8,42,50,26,54,0.9354838709677419,175.0,175.0,172.33333333333334,0.9542857142857143,0.9354838709677419,True,False,False,False,False,False,175.0
2018-01-14,175,31,175,28,0,51,28,28,89,0.9032258064516129,167.0,175.0,172.33333333333334,1.0,0.9032258064516129,False,False,False,False,True,False,175.0
2018-01-15,175,31,175,30,0,38,30,18,104,0.967741935483871,175.0,167.0,172.33333333333334,1.0,0.967741935483871,False,False,False,False,False,True,170.0
2018-01-16,175,31,170,27,5,31,36,22,57,0.8709677419354839,175.0,175.0,173.33333333333334,0.9714285714285714,0.8709677419354839,False,False,False,True,False,False,149.0
2018-01-17,175,31,149,23,26,30,51,30,91,0.7419354838709677,170.0,175.0,164.66666666666666,0.8514285714285714,0.7419354838709677,False,False,False,False,False,False,175.0
2018-01-18,175,31,175,23,0,64,27,16,84,0.7419354838709677,149.0,170.0,164.66666666666666,1.0,0.7419354838709677,False,True,False,False,False,False,175.0
2018-01-19,175,31,175,24,0,58,53,20,67,0.7741935483870968,175.0,149.0,166.33333333333334,1.0,0.7741935483870968,False,False,True,False,False,False,170.0
